Provincia,Densidad,Identidad,Medicos,Escolaridad,AguayDesague,Electrificacion
Carabaya,0.60223869028147103,98.23,4.62,74.63,52.45,68.12
Chucuito,0.60357789803658701,98.68,3.7,88.26,37.34,71.35
El Collao,0.61405537576718205,99.41,4.24,92.49,34.71,73.36
Huancané,0.58657757125196097,98.59,6.42,86.75,33.66,63.59
Lampa,0.58387968926866995,99.31,5.69,83.72,39.59,59.83
Melgar,0.63220915642338704,99.1,6.04,81.09,60.84,65.01
Moho,0.60976617112641596,98.11,2.6,83.48,45.2,73.76
San Antonio de Putina,0.56910267891399902,98.82,2.64,88.43,29.58,63.33
San Román,0.78126324877883402,99.03,15.51,94.02,72.24,99.5
Sandia,0.61523535031918197,98.59,6.42,84.26,50.23,63.83
Yunguyo,0.68068108447783404,98.38,6.87,87.11,52.71,90.69
Moyobamba,0.68317920022252898,95.76,9.94,83.27,72.54,73.46
Bellavista,0.62558488676442903,94.2,7.98,76.7,59.98,68.61
El Dorado,0.60659247659572202,96.83,7.74,66.91,68.08,58.57
Huallaga,0.66004648589933501,96.73,11.48,78.17,74.77,61.22
Lamas,0.60508635891056295,96.56,6.35,72.59,61.52,61.3
Mariscal Cáceres,0.69223739680067997,96.03,9.98,85.2,75.55,72.7
Picota,0.68836575720895998,96.17,7.8,82.32,73.98,78.72
Rioja,0.66715733670802002,95.41,10.38,83.08,58.29,79.5
San Martín,0.82854613884075501,98.33,21.33,99.5,85.39,95.5
Tocache,0.64562988408987798,94.95,10.51,92.43,43.61,74.31
Tacna,0.91040895546483303,99.49,44.74,90.05,95.88,95.21
Candarave,0.65209438236681105,99.5,7.11,90.05,40.11,84.53
Jorge Basadre,0.84870906113071198,99.5,30.08,97.33,83.98,93.42
Tarata,0.741355107043563,99.32,22.54,90.17,68.73,74.9
Tumbes,0.76223679804180799,99.12,18.38,86.27,77.68,87.42
Contralmirante Villar,0.66586417753333105,99.19,6.62,81.46,59.79,81.45
Zarumilla,0.68490566248027696,97.48,6.98,81.21,71.02,81.12
Coronel Portillo,0.667018633709209,97.59,12.52,85.43,42.85,86.77
Atalaya,0.42451367777964999,84.29,4.52,55.47,13.24,51.73
Padre Abad,0.50228956632535704,97.31,4.5,73.2,13.24,59.89
Purús,0.44730062147882399,91.97,15.95,51.39,0.24,53.47
