Country Name,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Tajikistan,47.8,52.1,36.4,91.8,64.6,60.3,67.3,49.2,68.5,73.6,25,30
Tanzania,35.4,41.4,33.2,80.5,90.3,85.2,46.6,66.2,70.4,67.8,55,50
Thailand,53.7,45.9,36.4,81.3,85.8,96.5,82.5,63.9,75.2,83,55,60
Timor-Leste,29.7,13.1,32.1,96.3,0.9,20,60.5,58.8,79.5,75,45,20
Togo,35.5,29.6,28.1,67.8,77,24.5,50.4,46.7,79.1,69.4,65,30
Tonga,59.2,26.6,38.1,85.5,40.9,93.4,75.3,69.9,69.4,73.6,40,20
Trinidad and Tobago,52.3,40.6,32.9,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60,50
Tunisia,49.2,42.7,36.6,74.4,74.4,37.9,76.7,50.3,76,71.4,45,30
Turkey,55.8,49.8,41.2,76.4,65.1,92.2,66,49.2,70,79.6,70,60
Turkmenistan,31.6,29.8,20.3,95.9,92,92.3,30,20,73.4,76,10,10
Uganda,42.2,38.5,25.4,73.3,88.7,68.6,46.3,83.2,80.1,75.4,55,40
Ukraine,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75,35,30
United Arab Emirates,81.8,87.1,78.8,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40,60
United Kingdom,92.3,85.9,83.8,64.7,48.2,68.6,92.9,73.5,81.2,86,90,80
United States,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80
Uruguay,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85,30
Uzbekistan,49.8,34.3,25.2,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10,10
Vanuatu,65.9,36.4,51.9,97.3,54.1,15.3,52.4,58.8,75,64.4,65,40
Venezuela,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28,0,60,0,10
Vietnam,49.8,40.3,34,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30,40
Zambia,45,35.6,32.3,72.3,80.1,12.3,71.1,46,70.3,72.6,55,50
Zimbabwe,29.7,24.8,15.8,62.3,74.5,23.7,33.4,43.3,72.4,70,25,10
